2025-09-20 10:43:21,522 - INFO - Initial logging setup - logs/volatility_trading_20250920_104321.log
2025-09-20 10:43:21,523 - INFO - Checking case status...
2025-09-20 10:43:21,524 - DEBUG - Starting new HTTP connection (1): localhost:9999
2025-09-20 10:43:21,528 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:21,529 - INFO - Case not yet active (status: STOPPED, tick: 0)
2025-09-20 10:43:21,529 - INFO - Waiting for case to start...
2025-09-20 10:43:23,534 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:23,538 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:25,544 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:25,545 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:27,550 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:27,551 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:29,559 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:29,560 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:31,564 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:31,564 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:33,570 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:33,572 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:35,578 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:35,579 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:37,587 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:37,589 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:39,596 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:39,597 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:41,602 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:41,603 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:43,609 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
2025-09-20 10:43:43,613 - INFO - Still waiting... (status: STOPPED, tick: 0)
2025-09-20 10:43:45,619 - DEBUG - http://localhost:9999 "GET /v1/case HTTP/1.1" 200 153
